head_idx,begin_attention,format_attention,number_attention,is_correct,generated,attention_weights,format
0,0.5224609375,0.421142578125,0.014098167419433594,True, 9.8 is bigger than 9.,"[0.5225   0.010376 0.0031   0.01054  0.02008  0.003399 0.002327 0.00119
 0.002907 0.01044  0.004574 0.002182 0.001657 0.003836 0.03168  0.11597
 0.2534  ]",simple
1,0.62060546875,0.1468963623046875,0.02768230438232422,True, 9.8 is bigger than 9.,"[0.6206    0.02386   0.01962   0.1193    0.0367    0.003681  0.002571
 0.0008745 0.004303  0.03244   0.006023  0.004906  0.002768  0.01226
 0.04633   0.0389    0.02495  ]",simple
2,0.923828125,0.041022300720214844,0.0004215240478515625,True, 9.8 is bigger than 9.,"[9.2383e-01 1.8799e-02 6.9008e-03 2.7409e-03 1.4725e-02 2.8152e-03
 9.2685e-05 1.1671e-04 1.0622e-04 2.9106e-03 7.6675e-04 4.7684e-05
 4.7147e-05 1.1086e-05 1.5402e-03 6.2485e-03 1.8509e-02]",simple
3,0.92041015625,0.026996612548828125,0.0039331912994384766,True, 9.8 is bigger than 9.,"[9.204e-01 1.979e-02 8.415e-03 7.645e-03 1.168e-02 4.822e-03 1.060e-03
 9.384e-04 7.839e-04 6.084e-03 1.787e-03 4.020e-04 4.213e-04 3.281e-04
 3.967e-03 4.265e-03 7.084e-03]",simple
4,0.84814453125,0.09344863891601562,0.02979278564453125,True, 9.8 is bigger than 9.,"[0.848    0.007084 0.001517 0.004475 0.003696 0.001267 0.003597 0.001841
 0.005657 0.0113   0.003077 0.005062 0.003168 0.01047  0.02191  0.015564
 0.05228 ]",simple
5,0.85107421875,0.0647125244140625,0.01861858367919922,True, 9.8 is bigger than 9.,"[0.851    0.00974  0.001701 0.003431 0.005783 0.002106 0.003204 0.002466
 0.003681 0.04575  0.002993 0.002872 0.001245 0.00515  0.0347   0.00406
 0.02017 ]",simple
6,0.8857421875,0.03615760803222656,0.006420612335205078,True, 9.8 is bigger than 9.,"[8.857e-01 5.618e-02 4.669e-03 2.552e-03 3.855e-03 1.919e-03 1.424e-03
 5.898e-04 1.201e-03 5.207e-03 9.389e-04 1.014e-03 4.988e-04 1.694e-03
 7.607e-03 8.980e-03 1.572e-02]",simple
7,0.84521484375,0.0566558837890625,0.016225337982177734,True, 9.8 is bigger than 9.,"[8.4521e-01 4.2938e-02 1.9379e-03 4.7150e-03 8.8348e-03 2.8248e-03
 6.6223e-03 2.2430e-03 2.9659e-03 2.7939e-02 1.3800e-03 1.3742e-03
 8.3208e-04 2.1877e-03 2.4643e-02 9.4833e-03 1.3695e-02]",simple
8,0.68310546875,0.1890106201171875,0.03477287292480469,True, 9.8 is bigger than 9.,"[0.683    0.02316  0.01014  0.007412 0.0219   0.00538  0.003727 0.0022
 0.00865  0.0426   0.00452  0.00487  0.001743 0.01358  0.0999   0.02557
 0.04163 ]",simple
9,0.6611328125,0.2368927001953125,0.01586771011352539,True, 9.8 is bigger than 9.,"[0.661     0.02736   0.01237   0.02771   0.02556   0.002573  0.001404
 0.0009427 0.004723  0.01546   0.0007033 0.000676  0.000737  0.007385
 0.0557    0.09155   0.0641   ]",simple
10,0.74462890625,0.20157623291015625,0.009441375732421875,True, 9.8 is bigger than 9.,"[0.7446    0.02286   0.001974  0.005905  0.01078   0.004154  0.001221
 0.00133   0.002466  0.00835   0.001202  0.0008793 0.00125   0.002295
 0.02774   0.0621    0.10095  ]",simple
11,0.7783203125,0.11290740966796875,0.05190849304199219,True, 9.8 is bigger than 9.,"[0.7783   0.005154 0.004433 0.01274  0.01144  0.003387 0.00231  0.002026
 0.00772  0.0238   0.007225 0.00493  0.003277 0.03165  0.04825  0.0303
 0.02292 ]",simple
12,0.947265625,0.007220745086669922,0.013100743293762207,True, 9.8 is bigger than 9.,"[9.473e-01 1.784e-02 1.765e-04 2.777e-03 4.525e-04 8.362e-03 1.055e-02
 6.480e-04 3.963e-04 2.262e-03 1.122e-03 1.375e-03 7.987e-05 4.995e-05
 1.364e-03 1.380e-03 4.025e-03]",simple
13,0.43212890625,0.1309356689453125,0.17057037353515625,True, 9.8 is bigger than 9.,"[0.4321   0.00965  0.001666 0.01746  0.0236   0.0169   0.02411  0.03418
 0.0446   0.2006   0.02     0.02322  0.015465 0.029    0.0651   0.02618
 0.01602 ]",simple
14,0.71533203125,0.029661178588867188,0.1489696502685547,True, 9.8 is bigger than 9.,"[0.7153    0.04218   0.0009775 0.01469   0.003023  0.0266    0.1094
 0.010414  0.011986  0.01569   0.00587   0.01131   0.00194   0.00395
 0.007504  0.00921   0.009926 ]",simple
15,0.498046875,0.3676605224609375,0.08649063110351562,True, 9.8 is bigger than 9.,"[0.498    0.00788  0.001369 0.003462 0.007065 0.003723 0.00699  0.006042
 0.02347  0.0247   0.00659  0.00941  0.00616  0.03442  0.1776   0.1418
 0.04114 ]",simple
16,0.740234375,0.20641708374023438,0.02874612808227539,True, 9.8 is bigger than 9.,"[7.402e-01 7.175e-03 1.358e-03 8.904e-03 5.978e-03 5.064e-04 2.825e-03
 3.734e-04 4.375e-03 6.626e-03 2.999e-04 5.941e-04 9.403e-04 1.964e-02
 4.175e-02 8.240e-02 7.629e-02]",simple
17,0.6396484375,0.2153167724609375,0.09943389892578125,True, 9.8 is bigger than 9.,"[0.6396   0.01698  0.004837 0.005665 0.00522  0.004448 0.00917  0.00506
 0.01085  0.0095   0.00417  0.00796  0.01031  0.0561   0.01927  0.04813
 0.1427  ]",simple
18,0.289794921875,0.23737335205078125,0.06623125076293945,True, 9.8 is bigger than 9.,"[0.2898    0.0194    0.0155    0.175     0.11835   0.01222   0.00548
 0.0008187 0.002459  0.171     0.013336  0.00806   0.003975  0.04544
 0.08905   0.01034   0.01964  ]",simple
19,0.830078125,0.08623695373535156,0.025938987731933594,True, 9.8 is bigger than 9.,"[8.3008e-01 4.5258e-02 4.9667e-03 1.4763e-03 2.4052e-03 2.3041e-03
 3.2368e-03 9.9850e-04 1.8587e-03 3.3855e-03 3.0994e-04 1.1930e-03
 6.7711e-04 1.7975e-02 1.4465e-02 3.6743e-02 3.2623e-02]",simple
20,0.74755859375,0.12811279296875,0.040990352630615234,True, 9.8 is bigger than 9.,"[0.7476    0.00881   0.00319   0.03253   0.02179   0.005127  0.002766
 0.0008636 0.00442   0.03152   0.002035  0.006123  0.006615  0.0202
 0.03123   0.04727   0.02782  ]",simple
21,0.86669921875,0.03739166259765625,0.06276512145996094,True, 9.8 is bigger than 9.,"[0.8667    0.011314  0.0017605 0.00863   0.005196  0.002333  0.003794
 0.001774  0.0084    0.00775   0.001273  0.007706  0.007797  0.0333
 0.006668  0.013756  0.01177  ]",simple
22,0.91015625,0.06502342224121094,0.010036647319793701,True, 9.8 is bigger than 9.,"[9.102e-01 8.369e-03 1.512e-03 2.546e-03 2.123e-03 4.718e-04 3.479e-04
 9.698e-05 2.165e-03 1.984e-03 9.149e-05 4.592e-04 3.836e-04 6.584e-03
 4.215e-03 2.640e-02 3.229e-02]",simple
23,0.82080078125,0.062957763671875,0.07938003540039062,True, 9.8 is bigger than 9.,"[0.821    0.005337 0.002695 0.00633  0.006027 0.00456  0.004215 0.003162
 0.006763 0.015236 0.002825 0.00639  0.007214 0.05164  0.02748  0.0108
 0.01865 ]",simple
24,0.342529296875,0.32891845703125,0.18529510498046875,True, 9.8 is bigger than 9.,"[0.3425   0.01447  0.002768 0.02986  0.02228  0.02116  0.02968  0.01561
 0.02795  0.06934  0.00577  0.01362  0.02104  0.0774   0.1498   0.08887
 0.068   ]",simple
25,0.6640625,0.18604278564453125,0.10278129577636719,True, 9.8 is bigger than 9.,"[6.641e-01 3.660e-03 8.411e-04 5.569e-03 1.304e-02 6.233e-03 1.029e-02
 3.519e-03 2.448e-02 3.012e-02 4.764e-04 6.474e-03 6.966e-03 5.106e-02
 9.161e-02 5.490e-02 2.649e-02]",simple
