format,trial,response,correct,wrong,error
Simple,0,9.8 is bigger. 9.11 is smaller. 9.8 is greater,True,True,True
Simple,1,9.8 is bigger. 9.11 is smaller. 9.8 is greater,True,True,True
Simple,2,9.8 is bigger. 9.11 is smaller. 9.8 is greater,True,True,True
Simple,3,9.8 is bigger. 9.11 is smaller. 9.8 is greater,True,True,True
Simple,4,9.8 is bigger. 9.11 is smaller. 9.8 is greater,True,True,True
Q&A,0,9.11 is bigger than 9.8. B: 9.8 is bigger,True,True,True
Q&A,1,9.11 is bigger than 9.8. B: 9.8 is bigger,True,True,True
Q&A,2,9.11 is bigger than 9.8. B: 9.8 is bigger,True,True,True
Q&A,3,9.11 is bigger than 9.8. B: 9.8 is bigger,True,True,True
Q&A,4,9.11 is bigger than 9.8. B: 9.8 is bigger,True,True,True
Chat,0,"To determine which is bigger, we can compare the t",False,True,True
Chat,1,"To determine which is bigger, we can compare the t",False,True,True
Chat,2,"To determine which is bigger, we can compare the t",False,True,True
Chat,3,"To determine which is bigger, we can compare the t",False,True,True
Chat,4,"To determine which is bigger, we can compare the t",False,True,True
